EXEC register 'zira', 'wuqoyusa', 'zira rikeri', 'zira@gmail.com', '614232216857', 'Jl. Juanda No. 0', 'Shanghai'
EXEC register 'qoqa', 'pohakena', 'qoqa wiwiqo', 'qoqa@gmail.com', '363035280722', 'Jl. Juanda No. 20', 'Roma'
EXEC register 'suwa', 'kacijago', 'suwa tekuda', 'suwa@gmail.com', '254139582796', 'Jl. Juanda No. 21', 'Osaka'
EXEC register 'gize', 'hamubiro', 'gize diteyu', 'gize@gmail.com', '874568077431', 'Jl. Juanda No. 22', 'Pyongyang'
EXEC register 'gepa', 'vuqujuxe', 'gepa horaha', 'gepa@gmail.com', '328748143552', 'Jl. Juanda No. 23', 'Kissidougou'
EXEC register 'pohi', 'sadumayo', 'pohi nagoji', 'pohi@gmail.com', '703133709558', 'Jl. Juanda No. 24', 'Roma'
EXEC register 'ximo', 'vufuyodo', 'ximo setuse', 'ximo@gmail.com', '930087635658', 'Jl. Juanda No. 25', 'Lisboa'
EXEC register 'guno', 'tucemale', 'guno cajeve', 'guno@gmail.com', '542532682663', 'Jl. Juanda No. 26', 'Benin City'
EXEC register 'juje', 'rabaresu', 'juje meveni', 'juje@gmail.com', '510151760024', 'Jl. Juanda No. 27', 'Vik i Myrdal'
EXEC register 'towi', 'citukupe', 'towi cupoyo', 'towi@gmail.com', '088051436392', 'Jl. Juanda No. 28', 'Kabul'
EXEC register 'qubi', 'futiseko', 'qubi todeta', 'qubi@gmail.com', '425389287014', 'Jl. Juanda No. 29', 'Bago'
EXEC register 'repo', 'funuvaju', 'repo xajaxu', 'repo@gmail.com', '824504405115', 'Jl. Juanda No. 30', 'Riyadh'
EXEC register 'zaho', 'pimefoqe', 'zaho yojoho', 'zaho@gmail.com', '154137358569', 'Jl. Juanda No. 31', 'Kabul'
EXEC register 'joqo', 'fatuxomu', 'joqo bajeye', 'joqo@gmail.com', '714061214952', 'Jl. Juanda No. 32', 'Bogota'
EXEC register 'puca', 'nobegovi', 'puca negedu', 'puca@gmail.com', '460362458812', 'Jl. Juanda No. 33', 'New York'
EXEC register 'kuwo', 'hudijuno', 'kuwo meyone', 'kuwo@gmail.com', '382627578278', 'Jl. Juanda No. 34', 'Phnom Penh'
EXEC register 'hiho', 'mititaxi', 'hiho qecono', 'hiho@gmail.com', '609589000725', 'Jl. Juanda No. 35', 'Tel Aviv'
EXEC register 'piwu', 'xezezuko', 'piwu xaraqo', 'piwu@gmail.com', '054721499030', 'Jl. Juanda No. 36', 'Alaminos'
EXEC register 'papi', 'yixorufe', 'papi zajili', 'papi@gmail.com', '408815232466', 'Jl. Juanda No. 37', 'Sao Paolo'
EXEC register 'giqa', 'huyemuya', 'giqa gagayu', 'giqa@gmail.com', '634905391288', 'Jl. Juanda No. 38', 'Toronto'
EXEC register 'qoca', 'jucapida', 'qoca nuzina', 'qoca@gmail.com', '212779554034', 'Jl. Juanda No. 39', 'Vohemar'
EXEC register 'fiwu', 'mixijaxo', 'fiwu zuweso', 'fiwu@gmail.com', '660727264713', 'Jl. Juanda No. 40', 'Bandung'
EXEC register 'sefo', 'hojorani', 'sefo babuxi', 'sefo@gmail.com', '347881638761', 'Jl. Juanda No. 41', 'Busan'
EXEC register 'liri', 'havayigo', 'liri naqegu', 'liri@gmail.com', '491573342201', 'Jl. Juanda No. 42', 'Doha'
EXEC register 'liwa', 'muvaficu', 'liwa huwizi', 'liwa@gmail.com', '670818303620', 'Jl. Juanda No. 43', 'Tokyo'
EXEC register 'zowe', 'qozaxewa', 'zowe qofede', 'zowe@gmail.com', '895556630088', 'Jl. Juanda No. 44', 'Gramsh'
EXEC register 'lohe', 'rakinizi', 'lohe luwoqi', 'lohe@gmail.com', '584739519028', 'Jl. Juanda No. 45', 'San Salvador'
EXEC register 'nemo', 'lamasuso', 'nemo vuciwa', 'nemo@gmail.com', '823210407590', 'Jl. Juanda No. 46', 'Patan'
EXEC register 'neta', 'gotevoqa', 'neta sekamo', 'neta@gmail.com', '899942087873', 'Jl. Juanda No. 47', 'Osaka'
EXEC register 'yibu', 'mesenazo', 'yibu fibeyo', 'yibu@gmail.com', '605496082740', 'Jl. Juanda No. 48', 'Phnom Penh'
EXEC register 'nexe', 'fuvomece', 'nexe gosuhi', 'nexe@gmail.com', '791586394538', 'Jl. Juanda No. 49', 'Yerusalem'
